235	4	-0.511196	-36.350634	5.086637	-5.455274	7.768402	-11.792999	-13.579471	6.318992	4.714223	0.350927	-0.627565	-0.992169	6.141924	7.496159	-18.940038	6.623041	-2.984235	6.620056	-13.180504	-0.327118	4.995240	6.252100	3.931840	-1.752524	5.089703	-16.756689	6.936969	-2.704069	-7.213678	0.119196	6.626543	-4.492795	-6.230318	-2.876083	6.141924	7.496159	-12.254334	0.376193	3.206215	6.620056	0.488544	4.401455	5.009430	6.252100	4.103492	8.618810	7.871432	-38.465120	-2.095396	5.612138	-4.538302	0.119196	6.626543	-4.492795	-11.193559	-2.876083	6.141924	7.496159	-0.184222	-1.418657	7.927598	6.620056	8.101115	6.447984	5.009431	6.252100	-7.456670	-53.704588	5.086637	0.918514	7.768567	-36.648869	-30.405100	6.318992	-10.735271	6.494540	5.577373	5.095434	6.141924	7.496159	-28.239571	6.640073	-2.984237	6.620056	-15.760357	-5.254427	0.377346	0.809139
278	4	6.820977	6.530107	8.837815	-35.689190	-9.006430	1.862995	1.342227	-2.379033	5.254651	-3.131975	-11.889194	-5.500196	3.682817	7.767454	1.154122	-8.488125	5.681197	6.218933	8.676946	5.097735	6.562108	7.060560	-11.878561	-34.838840	3.616795	4.050962	3.716810	-40.086954	-14.428236	2.245140	-11.262386	6.654239	6.143239	6.881651	3.682817	7.767454	-24.631787	1.819194	-0.341338	6.218933	-17.180457	-14.174672	0.434265	0.825948	0.331461	-7.397948	3.656281	-8.283304	2.749153	-9.821631	-7.441003	-2.226082	5.254452	-2.655859	-5.729307	-5.271581	3.682817	7.767454	-16.103761	-5.638716	-0.230189	6.218933	1.774966	-3.591895	0.434668	7.060560	0.258768	-22.279411	3.646617	-2.439624	2.827877	-10.361848	-7.524939	2.235521	0.783764	1.297186	0.114625	0.396600	3.682817	7.767454	-16.343764	-1.236488	-0.230213	6.218933	-4.046121	-3.749563	0.434556	6.766159
285	4	2.437332	-6.116199	3.518350	-6.737022	5.522676	-26.725630	-8.152980	0.194414	4.026213	-1.424410	-0.062587	-1.412249	5.312023	7.559057	-13.784292	0.317648	-3.943482	2.816718	-7.838937	0.049856	1.071059	7.775160	-9.434130	-50.532815	3.459792	4.133981	5.740085	-44.542342	-22.604411	6.322862	-10.694032	4.466433	6.383651	5.104394	5.312023	7.559057	-27.808021	6.437927	-7.010276	2.816718	-19.239297	-9.638172	0.001618	2.689796	8.568520	8.331921	8.197344	-36.982869	-6.050881	-0.959271	-1.754144	0.085713	4.522551	-7.385754	-11.760476	-7.503441	5.312023	7.559057	3.100726	-5.656570	4.668904	2.816718	6.420999	4.065721	6.359124	7.775289	2.523059	-5.908175	3.576940	-7.242423	5.395604	-25.753844	-8.103193	0.180297	4.085719	-1.445588	-0.195691	-1.412249	5.312023	7.559057	-8.243242	0.316036	-3.316408	2.816718	-3.032835	0.049866	1.071083	7.775181
287	4	6.884558	1.944356	9.306993	-37.371057	-8.769056	0.178867	-2.303556	-0.258161	4.137052	-6.261327	-9.928932	-3.608059	4.650472	8.194027	4.257262	-5.558554	7.105857	6.992096	5.405945	6.182075	5.712285	8.868378	5.465957	-26.741502	9.306993	-6.216468	-3.204093	-30.743984	-7.214146	6.195427	-13.214814	4.893009	4.388643	7.232052	4.650472	8.194027	-11.344807	0.878496	0.942712	6.992096	-10.214832	2.088797	3.607085	4.685464	-4.873413	-41.763226	3.298067	3.581387	3.292064	-44.555391	-25.249810	6.195427	-13.334779	4.893009	4.525190	7.233144	4.650472	8.194027	-30.382055	6.764510	-2.615703	6.992096	-17.573221	-5.448211	-0.122983	4.685458	6.579816	-20.101488	9.306993	-21.800583	-6.291646	-19.491284	-6.941341	6.195427	-9.413570	4.892984	1.068689	7.121810	4.650472	8.194027	-2.928387	0.647420	6.788660	6.992096	-2.713752	4.900680	5.629225	4.692820
335	4	-8.397755	-60.174679	2.695610	2.131947	6.132148	-57.788922	-17.296080	4.202885	-3.536134	5.974809	5.465363	6.543408	8.674577	9.028749	-29.595685	7.803513	-2.614544	7.130902	-21.701365	-11.509867	0.877304	2.747293	4.117439	-6.822213	6.573814	-8.329432	0.145899	-27.678240	-6.389382	-1.859892	4.560059	2.784936	0.656767	0.897584	8.674577	9.028749	-15.016858	-5.041388	-0.162174	7.130902	-10.252819	-0.192407	2.964133	7.944930	6.559014	-22.367492	6.585385	-14.249904	-3.112135	-27.529718	-5.295704	4.191372	1.807191	5.974052	0.976050	6.543027	8.674577	9.028749	-1.458953	1.462750	3.593713	7.130902	-3.990025	5.212677	4.396307	7.944187	6.561458	1.377955	6.585385	-26.305904	-3.879147	-8.039847	-4.976854	-2.127199	9.438155	-3.723962	-8.662762	-3.858404	8.674577	9.028749	-0.458039	-5.089166	3.643371	7.130902	7.621861	5.261688	4.398670	7.944930
363	4	7.220625	0.328938	1.255542	-24.831661	5.152491	-11.849780	-0.504505	0.946689	7.163850	-5.671662	-3.347709	-5.009026	6.652099	6.293347	-9.522190	-6.212145	1.901121	9.597712	3.078745	3.746476	5.846748	6.345336	-8.486466	-53.706341	-0.184302	4.252457	9.711101	-54.547404	-24.601008	6.810836	-16.369405	7.431095	8.160572	5.743185	6.652099	6.293347	-30.367221	6.880695	-3.945024	9.597712	-20.383104	-8.923294	1.677075	1.178476	7.220625	-4.231684	1.255542	-18.451101	5.152491	-19.568917	-0.504505	0.946706	4.712851	0.863766	1.713093	-0.483199	6.652099	6.293347	-9.522190	-6.212145	1.901121	9.597712	-3.294593	3.746476	5.846748	6.345336	7.227197	6.241068	4.861053	-36.369967	-1.042724	-7.138670	4.061641	0.946689	7.170371	-5.677215	-5.879093	-5.014404	6.652099	6.293347	0.341004	-6.236224	6.720394	9.597712	7.376035	6.407443	6.111457	6.345336
393	4	5.807449	6.191146	4.332856	-37.094380	-4.323809	-1.011800	-1.106581	-1.188656	7.029415	-4.273028	-8.988696	-8.078147	6.860009	8.180504	3.425274	-4.372142	5.135913	6.898674	7.789773	5.454100	4.256542	6.627429	-8.037291	-43.129287	-1.376022	0.736467	7.984502	-47.927340	-22.410318	4.825675	-5.563191	6.726488	8.387381	2.308918	6.860009	8.180504	-32.068296	8.043989	-7.471201	6.898674	-21.318704	-10.470329	0.202969	2.982940	0.480391	-7.726687	4.273540	-21.466350	1.518931	-11.735368	-4.162375	-1.188656	6.765285	-3.771984	-3.233912	-8.078142	6.860009	8.180504	-13.210050	-4.348559	-0.540625	6.898674	-3.918481	-0.572498	1.355104	6.627429	0.480116	-12.712365	4.273490	-21.462174	1.519551	-17.176695	-4.170160	-1.186340	2.923898	-0.190373	3.550648	-2.953172	6.860009	8.180504	-13.210058	-3.769459	-0.540628	6.898674	-4.033387	-0.572498	1.355103	6.627428
416	4	-8.677427	-45.608051	1.494866	5.363687	5.618102	-41.639762	-26.402589	8.674836	-10.807550	6.368043	3.356541	8.377050	6.268047	6.810212	-24.578906	3.861444	-2.740465	5.691956	-17.300670	-9.346704	-0.506787	1.387933	7.120478	2.574477	6.553952	-34.214757	-4.667822	-2.328920	-0.968909	4.078446	7.300037	3.242571	-12.332435	-3.520011	6.268047	6.810212	5.799382	-5.403025	3.680912	5.691956	5.721457	6.669471	5.970137	7.065209	-1.165655	-12.697593	1.494885	-1.414192	5.618083	-27.093275	-12.299547	4.246425	4.700050	4.103392	-2.040902	2.278432	6.268047	6.810212	-16.288670	-0.260901	-1.943578	5.691956	-11.353660	-1.079095	2.791458	7.065209	3.485295	-3.591302	1.572443	-10.400660	5.544007	-24.345248	-8.323646	4.078446	4.880431	4.078303	-2.060846	2.276260	6.268047	6.810212	-9.712480	-5.022440	-0.718752	5.691956	-10.663310	1.737466	4.830763	7.065209
428	4	0.596516	-2.427233	6.510658	-43.598165	-5.555743	-0.901098	-2.681751	2.104000	7.656241	-5.576345	-10.982304	-6.231212	4.596777	6.075002	2.634028	-5.101349	6.677138	6.963559	7.937779	6.335186	9.575742	5.981916	0.596506	-19.441842	6.510658	-38.680440	-5.555743	-6.425811	-2.683134	8.284077	2.487760	-0.163581	-4.603559	-0.643031	4.596777	6.075002	2.419785	0.518202	6.675307	6.963559	3.984983	6.335155	9.575742	5.981887	-14.232675	-59.178091	3.360840	1.667063	3.870868	-52.864149	-27.961422	8.284971	-10.297198	6.457731	6.604625	5.438221	4.596777	6.075002	-31.573290	6.570146	-5.249569	6.963559	-16.294426	-5.118383	3.683213	-0.558834	0.578935	-4.957849	5.648683	-26.674465	0.495710	-4.784787	-6.836775	2.104000	7.656241	-5.576343	-6.072252	-6.231212	4.596777	6.075002	-9.222940	-1.804740	0.976136	6.963559	5.871484	5.305227	9.575671	5.981916
440	4	0.564694	-44.813750	0.084335	4.162989	7.876611	-47.868625	-21.187457	5.287433	-12.780417	6.301186	7.712012	7.777946	6.645575	7.096395	-25.124174	4.490450	-1.109071	8.170824	-22.573756	-6.818101	0.580214	-0.477354	2.438884	-19.779985	6.034575	-27.159499	-3.251717	-5.903307	-4.151787	5.286919	-1.709716	1.920333	1.545889	2.423693	6.645575	7.096395	2.848495	2.113228	7.249744	8.170824	-2.188563	5.120240	6.357291	0.088563	5.520279	3.077968	6.034575	-34.848223	-3.254854	-1.732505	-1.734402	0.878169	6.204116	-2.641921	-4.787659	-0.745258	6.645575	7.096395	3.870636	-0.236551	7.388791	8.170824	4.412491	6.925586	6.359251	5.816386	5.413263	-3.146372	5.778008	-19.928099	2.200345	-6.755696	-5.206520	0.878169	6.094431	-2.641921	-0.245938	-0.745258	6.645575	7.096395	-8.094402	-0.208327	2.558618	8.170824	-1.031127	2.335329	5.821325	5.816386
